Level,Number
0.0,1130
0.0,1133
0.0,1134
0.0,1136
0.0,1137
0.0,1142
0.0,1143
0.0,1155
0.0,1161
0.0,1163
0.0,1164
0.0,1169
0.0,1171
0.0,1186
0.0,1191
0.0,1192
0.0,1203
0.0,1206
0.0,1211
0.0,1218
0.0,1221
0.0,1223
0.0,1224
0.0,1228
0.0,1237
0.0,1249
0.0,1266
0.0,1272
0.0,1274
0.0,1278
0.0,1279
0.0,1317
0.0,1319
0.0,1329
0.0,1335
0.0,1338
0.0,1349
0.0,1361
0.0,1363
0.0,1366
0.0,1367
0.0,1372
0.0,1378
0.0,1387
0.0,1397
0.0,1401
0.0,1404
0.0,1423
0.0,1426
0.0,1428
0.0,1429
0.0,1435
0.0,1447
0.0,1452
0.0,1454
0.0,1458
0.0,1460
0.0,1465
0.0,1466
0.0,1468
0.0,1469
0.0,1470
0.0,1472
0.0,1478
0.0,1481
0.0,1483
0.0,1487
0.0,1488
0.0,1491
0.0,1496
0.0,1499
0.0,1501
0.0,1502
0.0,1510
0.0,1511
0.0,1530
0.0,1534
0.0,1537
0.0,1540
0.0,1542
0.0,1552
0.0,1556
0.0,1558
0.0,1567
0.0,1570
0.0,1571
0.0,1576
0.0,1578
0.0,1579
0.0,1582
0.0,1583
0.0,1584
0.0,1586
0.0,1589
0.0,1590
0.0,1596
0.0,1597
0.0,1606
0.0,1610
0.0,1611
0.0,1618
0.0,1619
0.0,1631
0.0,1635
0.0,1638
0.0,1641
0.0,1651
0.0,1656
0.0,1661
0.0,1664
0.0,1674
0.0,1678
0.0,1679
0.0,1682
0.0,1683
0.0,1690
0.0,1696
0.0,1698
0.0,1705
0.0,1732
0.0,1754
0.0,1776
0.0,1782
0.0,1784
0.0,1802
0.0,1803
0.0,1804
0.0,1807
0.0,1808
0.0,1809
0.0,1811
0.0,1815
0.0,1819
0.0,1831
0.0,1833
0.0,1844
0.0,1845
0.0,1847
0.0,1858
0.0,1869
0.0,1870
0.0,1872
0.0,1877
0.0,1879
0.0,1880
0.0,1881
0.0,1882
0.0,1888
0.0,1889
0.0,1896
0.0,1899
0.0,1906
0.0,1928
0.0,1950
0.0,1968
0.0,1971
0.0,1973
0.0,1995
0.0,1997
0.0,1998
0.0,2000
0.0,2025
0.0,2027
0.0,2030
0.0,2035
0.0,2039
0.0,2040
0.0,2043
0.0,2053
0.0,2054
0.0,2058
0.0,2059
0.0,2062
0.0,2067
0.0,2068
0.0,2084
0.0,2085
0.0,2088
0.0,2100
0.0,2101
0.0,2106
0.0,2114
0.0,2119
0.0,2120
0.0,2123
0.0,2124
0.0,2127
0.0,2129
0.0,2131
0.0,2134
0.0,2144
0.0,2147
0.0,2173
0.0,2175
0.0,2177
0.0,2181
0.0,2189
0.0,2196
0.0,2198
0.0,2202
0.0,2205
0.0,2219
0.0,2221
0.0,2223
0.0,2227
0.0,2235
0.0,2249
0.0,2259
0.0,2260
0.0,2265
0.0,2267
0.0,2269
0.0,2273
0.0,2274
0.0,2277
0.0,2280
0.0,2283
0.0,2284
0.0,2286
0.0,2288
0.0,2297
0.0,2299
0.0,2301
0.0,2314
0.0,2317
0.0,2318
0.0,2319
0.0,2326
0.0,2327
0.0,2329
0.0,2332
0.0,2333
0.0,2335
0.0,2340
0.0,2345
0.0,2349
0.0,2350
0.0,2353
0.0,2359
0.0,2360
0.0,2362
0.0,2363
0.0,2366
0.0,2371
0.0,2378
0.0,2382
0.0,2383
0.0,2384
0.0,2394
0.0,2395
0.0,2397
0.0,2402
0.0,2404
0.0,2409
0.0,2425
0.0,2434
0.0,2462
0.0,2486
0.0,2520
0.0,2521
0.0,2524
0.0,2537
0.0,2545
0.0,2555
0.0,2556
0.0,2603
0.0,2614
0.0,2683
0.0,2691
0.0,2700
0.0,2701
0.0,2706
0.0,2707
0.0,2715
0.0,2717
0.0,2719
0.0,2722
0.0,2726
0.0,2732
0.0,2734
0.0,2735
0.0,2736
0.0,2760
0.0,2761
0.0,2762
0.0,2763
0.0,2766
0.0,2768
0.0,2772
0.0,2779
0.0,2781
0.0,2788
0.0,2833
0.0,2834
0.0,2835
0.0,2838
0.0,2856
0.0,2868
0.0,2874
0.0,2883
0.0,2894
0.0,2895
0.0,2901
0.0,2913
0.0,2918
0.0,2926
0.0,2932
0.0,2945
0.0,2946
0.0,2952
0.0,2964
0.0,2970
0.0,2973
0.0,2974
0.0,2996
0.0,3016
0.0,3021
0.0,3027
0.0,3051
0.0,3064
0.0,3065
0.0,3081
0.0,3082
0.0,3084
0.0,3087
0.0,3090
0.0,3093
0.0,3094
0.0,3096
0.0,3104
0.0,3105
0.0,3106
0.0,3112
0.0,3115
0.0,3118
0.0,3120
0.0,3124
0.0,3125
0.0,3126
0.0,3127
0.0,3129
0.0,3130
0.0,3132
0.0,3134
0.0,3138
0.0,3140
0.0,3141
0.0,3143
0.0,3145
0.0,3146
0.0,3147
0.0,3149
0.0,3150
0.0,3152
0.0,3155
0.0,3156
0.0,3157
0.0,3158
0.0,3160
0.0,3162
0.0,3170
0.0,3171
0.0,3177
0.0,3178
0.0,3179
0.0,3180
0.0,3188
0.0,3191
0.0,3193
0.0,3195
0.0,3196
0.0,3198
0.0,3199
0.0,3200
0.0,3201
0.0,3202
0.0,3209
0.0,3210
0.0,3227
0.0,3228
0.0,3229
0.0,3230
0.0,3233
0.0,3245
0.0,3246
0.0,3247
0.0,3250
0.0,3255
0.0,3256
0.0,3262
0.0,3263
0.0,3269
0.0,3272
0.0,3309
0.0,3310
0.0,3320
0.0,3322
0.0,3342
0.0,3359
0.0,3361
0.0,3362
0.0,3383
0.0,3385
0.0,3386
0.0,3387
0.0,3388
0.0,3389
0.0,3416
0.0,3422
0.0,3423
0.0,3436
0.0,3438
0.0,3439
0.0,3441
0.0,3442
0.0,3443
0.0,3445
0.0,3446
0.0,3450
0.0,3451
0.0,3452
0.0,3453
0.0,3454
0.0,3455
0.0,3456
0.0,3457
0.0,3466
0.0,3468
0.0,3470
0.0,3471
0.0,3472
0.0,3475
0.0,3478
0.0,3479
0.0,3480
0.0,3481
0.0,3484
0.0,3485
0.0,3488
0.0,3489
0.0,3491
0.0,3494
0.0,3496
0.0,3500
0.0,3502
0.0,3504
0.0,3506
0.0,3519
0.0,3521
0.0,3522
0.0,3542
0.0,3544
0.0,3545
0.0,3547
0.0,3548
0.0,3549
0.0,3563
0.0,3588
0.0,3589
0.0,3598
0.0,3605
0.0,3607
0.0,3608
0.0,3609
0.0,3612
0.0,3614
0.0,3622
0.0,3623
0.0,3626
0.0,3641
0.0,3642
0.0,3643
0.0,3646
0.0,3647
0.0,3650
0.0,3652
0.0,3655
0.0,3659
0.0,3660
0.0,3662
0.0,3664
0.0,3667
0.0,3668
0.0,3670
0.0,3672
0.0,3674
0.0,3675
0.0,3677
0.0,3680
0.0,3681
0.0,3686
0.0,3688
0.0,3689
0.0,3690
0.0,3691
0.0,3693
0.0,3694
0.0,3695
0.0,3698
0.0,3699
0.0,3701
0.0,3702
0.0,3703
0.0,3704
0.0,3705
0.0,3706
0.0,3707
0.0,3708
0.0,3710
0.0,3712
0.0,3714
0.0,3715
0.0,3716
0.0,3717
0.0,3718
0.0,3719
0.0,3720
0.0,3721
0.0,3722
0.0,3723
0.0,3726
0.0,3727
0.0,3728
0.0,3729
0.0,3734
0.0,3743
0.0,3749
0.0,3750
0.0,3751
0.0,3753
0.0,3754
0.0,3756
0.0,3757
0.0,3759
0.0,3762
0.0,3764
0.0,3794
0.0,3795
0.0,3805
0.0,3808
0.0,3809
0.0,3810
0.0,3811
0.0,3812
0.0,3832
0.0,3833
0.0,3837
0.0,3838
0.0,3839
0.0,3840
0.0,3842
0.0,3843
0.0,3846
0.0,3848
0.0,3851
0.0,3852
0.0,3853
0.0,3856
0.0,3857
0.0,3859
0.0,3861
0.0,3862
0.0,3866
0.0,3867
0.0,3868
0.0,3869
0.0,3870
0.0,3871
0.0,3872
0.0,3875
0.0,3876
0.0,3877
0.0,3880
0.0,3883
0.0,3884
0.0,3886
0.0,3887
0.0,3888
0.0,3890
0.0,3891
0.0,3892
0.0,3893
0.0,3894
0.0,3897
0.0,3898
0.0,3899
0.0,3901
0.0,3906
0.0,3909
0.0,3910
0.0,3911
0.0,3912
0.0,3913
0.0,3914
0.0,3915
0.0,3916
0.0,3917
0.0,3918
0.0,3920
0.0,3921
0.0,3922
0.0,3923
0.0,3924
0.0,3925
0.0,3926
0.0,3927
0.0,3928
0.0,3929
0.0,3930
0.0,3931
0.0,3932
0.0,3934
0.0,3935
0.0,3937
0.0,3939
0.0,3945
0.0,3947
0.0,3949
0.0,3950
0.0,3951
0.0,3953
0.0,3956
0.0,3957
0.0,3958
0.0,3960
0.0,3962
0.0,3963
0.0,3965
0.0,3966
0.0,3968
0.0,3969
0.0,3971
0.0,3972
0.0,3974
0.0,3975
0.0,3979
0.0,3983
0.0,3984
0.0,4007
0.0,4015
0.0,4018
0.0,4019
0.0,4020
0.0,4021
0.0,4022
0.0,4023
0.0,4024
0.0,4025
0.0,4026
0.0,4027
0.0,4028
0.0,4029
0.0,4031
0.0,4032
0.0,4033
0.0,4034
0.0,4035
0.0,4036
0.0,4037
0.0,4038
0.0,4039
0.0,4040
0.0,4041
0.0,4042
0.0,4043
0.0,4045
0.0,4047
0.0,4048
0.0,4050
0.0,4051
0.0,4052
0.0,4053
0.0,4054
0.0,4057
0.0,4058
0.0,4059
0.0,4060
0.0,4061
0.0,4062
0.0,4063
0.0,4064
0.0,4065
0.0,4066
0.0,4067
0.0,4068
0.0,4069
0.0,4070
0.0,4071
0.0,4073
0.0,4074
0.0,4075
0.0,4076
0.0,4078
0.0,4079
0.0,4080
0.0,4081
0.0,4082
0.0,4083
0.0,4085
0.0,4086
0.0,4087
0.0,4088
0.0,4089
0.0,4091
0.0,4092
0.0,4093
0.0,4094
0.0,4098
0.0,4099
0.0,4104
0.0,4109
0.0,4113
0.0,4114
0.0,4115
0.0,4116
0.0,4117
0.0,4119
0.0,4120
0.0,4121
0.0,4122
0.0,4123
0.0,4124
0.0,4125
0.0,4126
0.0,4127
0.0,4128
0.0,4129
0.0,4130
0.0,4131
0.0,4133
0.0,4135
0.0,4136
0.0,4137
0.0,4138
0.0,4139
0.0,4140
0.0,4142
0.0,4143
0.0,4144
0.0,4145
0.0,4146
0.0,4147
0.0,4148
0.0,4151
0.0,4152
0.0,4156
0.0,4157
0.0,4162
0.0,4163
0.0,4164
0.0,4165
0.0,4166
0.0,4168
0.0,4169
0.0,4171
0.0,4173
0.0,4174
0.0,4175
0.0,4177
0.0,4178
0.0,4180
0.0,4182
0.0,4183
0.0,4188
0.0,4192
0.0,4193
0.0,4194
0.0,4199
0.0,4201
0.0,4202
0.0,4208
0.0,4216
0.0,4226
0.0,4228
0.0,4229
0.0,4231
0.0,4232
0.0,4234
0.0,4237
0.0,4239
0.0,4240
0.0,4241
0.0,4242
0.0,4244
0.0,4245
0.0,4247
0.0,4248
0.0,4249
0.0,4250
0.0,4251
0.0,4252
0.0,4253
0.0,4254
0.0,4255
0.0,4257
0.0,4258
0.0,4259
0.0,4260
0.0,4261
0.0,4262
0.0,4263
0.0,4264
0.0,4265
0.0,4266
0.0,4268
0.0,4271
0.0,4272
0.0,4273
0.0,4274
0.0,4277
0.0,4278
0.0,4279
0.0,4280
0.0,4281
0.0,4282
0.0,4285
0.0,4286
0.0,4288
0.0,4289
0.0,4290
0.0,4292
0.0,4293
0.0,4294
0.0,4295
0.0,4296
0.0,4298
0.0,4300
0.0,4301
0.0,4303
0.0,4304
0.0,4309
0.0,4310
0.0,4311
0.0,4313
0.0,4314
0.0,4315
0.0,4323
0.0,4324
0.0,4327
0.0,4329
0.0,4331
0.0,4332
0.0,4333
0.0,4334
0.0,4336
0.0,4337
0.0,4338
0.0,4339
0.0,4340
0.0,4345
0.0,4346
0.0,4349
0.0,4350
0.0,4351
0.0,4352
0.0,4353
0.0,4356
0.0,4359
0.0,4360
0.0,4361
0.0,4363
0.0,4364
0.0,4366
0.0,4367
0.0,4368
0.0,4369
0.0,4372
0.0,4374
0.0,4377
0.0,4380
0.0,4382
0.0,4387
0.0,4390
0.0,4392
0.0,4393
0.0,4394
0.0,4397
0.0,4398
0.0,4400
0.0,4401
0.0,4404
0.0,4405
0.0,4406
0.0,4407
0.0,4408
0.0,4410
0.0,4413
0.0,4415
0.0,4416
0.0,4417
0.0,4418
0.0,4420
0.0,4421
0.0,4422
0.0,4423
0.0,4424
0.0,4440
0.0,4441
0.0,4443
0.0,4445
0.0,4449
0.0,4450
0.0,4453
0.0,4459
0.0,4461
0.0,4462
0.0,4463
0.0,4465
0.0,4466
0.0,4468
0.0,4471
0.0,4472
0.0,4473
0.0,4474
0.0,4475
0.0,4477
0.0,4479
0.0,4480
0.0,4481
0.0,4482
0.0,4484
0.0,4487
0.0,4488
0.0,4489
0.0,4490
0.0,4491
0.0,4494
0.0,4495
0.0,4496
0.0,4497
0.0,4498
0.0,4499
0.0,4500
0.0,4501
0.0,4502
0.0,4503
0.0,4506
0.0,4507
0.0,4508
0.0,4509
0.0,4510
0.0,4511
0.0,4512
0.0,4513
0.0,4514
0.0,4515
0.0,4516
0.0,4517
0.0,4518
0.0,4519
0.0,4520
0.0,4521
0.0,4522
0.0,4523
0.0,4524
0.0,4525
0.0,4526
0.0,4527
0.0,4528
0.0,4529
0.0,4530
0.0,4532
0.0,4533
0.0,4534
0.0,4535
0.0,4536
0.0,4537
0.0,4538
0.0,4540
0.0,4541
0.0,4542
0.0,4543
0.0,4544
0.0,4545
0.0,4546
0.0,4547
0.0,4549
0.0,4550
0.0,4551
0.0,4553
0.0,4554
0.0,4565
0.0,4567
